name;first date of contribution;company;org;awf-team
kenji-miyake;2022/01/01;None;None;None
k-obitsu;2022/01/05;@tier4;tier4, autowarefoundation;tier4
takayuki5168;2022/01/05;@tier4;tier4, autowarefoundation;tier4
github-actions;2022/01/06;None;None;None
kyoichi-sugahara;2022/01/07;Tier IV;tier4, autowarefoundation;tier4
taikitanaka3;2022/01/07;Ⅳ;tier4, autowarefoundation;tier4
wep21;2022/01/11;None;CPFL, autowarefoundation;None
KeisukeShima;2022/01/11;TIER IV, Inc.;cpprefjp, tier4, autowarefoundation;tier4
h-ohta;2022/01/12;@tier4 ;CPFL, tier4, autowarefoundation;tier4
maxime-clem;2022/01/13;None;tier4, autowarefoundation;tier4
satoshi-ota;2022/01/13;@tier4;tier4, autowarefoundation;tier4
1222-takeshi;2022/01/14;@tier4;tier4, autowarefoundation;tier4
tkimura4;2022/01/14;Japan;tier4, autowarefoundation;tier4
ito-san;2022/01/17;@tier4;tier4, autowarefoundation;tier4
zulfaqar-azmi-t4;2022/01/18;TIER IV Inc;tier4, autowarefoundation;tier4
0x126;2022/01/18;None;tier4, autowarefoundation;tier4
rej55;2022/01/19;TIER IV, Inc.;tier4, autowarefoundation;tier4
yukkysaito;2022/01/20;@tier4;CPFL, tier4, autowarefoundation;tier4
miursh;2022/01/21;None;tier4, autowarefoundation;tier4
YamatoAndo;2022/01/21;None;CPFL, tier4, autowarefoundation;tier4
codecov-commenter;2022/01/25;Codecov by Sentry;None;None
kosuke55;2022/01/27;@tier4;tier4, autowarefoundation;tier4
awf-autoware-bot;2022/01/27;None;None;None
yabuta;2022/01/28;None;CPFL, tier4, autowarefoundation;tier4
mergify;2022/01/31;None;None;None
takam5f2;2022/01/31;TIER IV, inc.;None;tier4
pre-commit-ci;2022/01/31;None;None;None
codecov;2022/02/02;None;None;None
badai-nguyen;2022/02/03;None;tier4, autowarefoundation;tier4
kminoda;2022/02/07;TIER IV;tier4, autowarefoundation;tier4
TakumiKozaka-T4;2022/02/07;None;None;None
Timple;2022/02/07;@nobleo ;tue-robotics, nobleo;None
mitsudome-r;2022/02/08;TIER IV;CPFL, tier4, autowarefoundation, ai-rush-2019, Autoware-AI, autoware-org, MitsudomeTestOrganization;udel
IshitaTakeshi;2022/02/09;None;autowarefoundation;None
TakaHoribe;2022/02/12;@tier4 ;CPFL, tier4, autowarefoundation, Autoware-AI;tier4
isamu-takagi;2022/02/16;None;CPFL, tier4, autowarefoundation;tier4
taichiH;2022/02/22;None;tier4, autowarefoundation;None
dependabot;2022/03/01;None;None;None
yukke42;2022/03/04;None;None;None
purewater0901;2022/03/07;University of California, Berkeley;autowarefoundation;None
xmfcx;2022/03/13;Autoware Foundation;leo-drive, autowarefoundation;bogazici
mkuri;2022/03/15;TIER IV;tier4, autowarefoundation;tier4
HiroIshida;2022/03/16;University of Tokyo;None;None
tzhong518;2022/03/18;None;tier4, autowarefoundation;tier4
meliketanrikulu;2022/03/21;Leo Drive;autowarefoundation;leodrive
xczhanjun;2022/03/22;baidu usa ;None;None
kk-inoue-esol;2022/03/22;None;None;None
kaancolak;2022/03/22;LeoDrive.ai;tier4, leo-drive, autowarefoundation;leodrive
boyali;2022/03/23;None;None;None
harihitode;2022/03/24;TIER IV, Inc.;tier4;tier4
hrjp;2022/03/29;None;KobeKosenRobotics, booars;None
esteve;2022/03/29;None;apache, fluidinfo, ros, robotics-in-concert, CPFL, ros2, ros2-java, autowarefoundation, ros2-dotnet;None
stale;2022/03/29;None;None;None
evshary;2022/03/31;None;Adlink-ROS, autowarefoundation;adlink
v-nakayama7440-esol;2022/04/06;None;None;None
DanielShihTier4;2022/04/06;None;None;None
angry-crab;2022/04/06;None;autowarefoundation;None
beyzanurkaya;2022/04/06;LeoDrive;autowarefoundation;leodrive
s-azumi;2022/04/07;TIER IV;CPFL, tier4, autowarefoundation;tier4
brkay54;2022/04/08;Planning & Control @ Leo Drive;leo-drive, autowarefoundation;leodrive
yamacir-kit;2022/04/13;TIER IV, Inc.;Nishida-Lab, agrirobo, tier4;tier4
TomohitoAndo;2022/04/15;TIER IV, Inc;CPFL, tier4, autowarefoundation;tier4
storrrrrrrrm;2022/04/20;@autocore-ai;autowarefoundation;autocore
shmpwk;2022/04/21;@tier4;tier4, autowarefoundation;tier4
Sharrrrk;2022/04/22;@autocore-ai ;tier4, autowarefoundation;autocore
kazuki527;2022/04/25;None;autowarefoundation;None
shulanbushangshu;2022/04/25;@autocore-ai;autowarefoundation;autocore
plane-li;2022/04/29;@autocore-ai;autowarefoundation;autocore
Shin-kyoto;2022/05/09;None;tier4, autowarefoundation;tier4
LucaFos;2022/05/12;None;None;None
soblin;2022/05/12;@tier4;tier4, autowarefoundation;tier4
RyuYamamoto;2022/05/16;TIER IV, Inc.;tork-a, citbrains, open-rdc, ros-japan-users, tier4, autowarefoundation;tier4
beginningfan;2022/05/18;@autocore-ai;autowarefoundation;autocore
ktro2828;2022/05/18;@tier4;tier4, autowarefoundation;tier4
djargot;2022/05/18;None;tier4, autowarefoundation;None
VRichardJP;2022/05/19;Macnica;autowarefoundation;macnica
