name;first date of contribution;company;org;awf-team
Torreskai0722;2022/01/01;None;autowarefoundation;wsu
takayuki5168;2022/01/05;@tier4;tier4, autowarefoundation;tier4
taikitanaka3;2022/01/06;Ⅳ;tier4, autowarefoundation;tier4
6022;2022/01/06;None;None;None
kyoichi-sugahara;2022/01/07;Tier IV;tier4, autowarefoundation;tier4
JonasLos;2022/01/08;None;None;None
kenji-miyake;2022/01/08;None;None;None
GPrathap;2022/01/11;None;None;None
kosuke55;2022/01/11;@tier4;tier4, autowarefoundation;tier4
maxime-clem;2022/01/12;None;tier4, autowarefoundation;tier4
TakaHoribe;2022/01/12;@tier4 ;CPFL, tier4, autowarefoundation, Autoware-AI;tier4
JWhitleyWork;2022/01/12;Electrified Autonomy;autowarefoundation, Autoware-AI;None
angry-crab;2022/01/13;None;autowarefoundation;None
xmfcx;2022/01/13;Autoware Foundation;leo-drive, autowarefoundation;bogazici
zulfaqar-azmi-t4;2022/01/18;TIER IV Inc;tier4, autowarefoundation;tier4
IshitaTakeshi;2022/01/18;None;autowarefoundation;None
wep21;2022/01/18;None;CPFL, autowarefoundation;None
KeisukeShima;2022/01/19;TIER IV, Inc.;cpprefjp, tier4, autowarefoundation;tier4
yukkysaito;2022/01/20;@tier4;CPFL, tier4, autowarefoundation;tier4
urbansound8K;2022/01/27;None;None;None
xczhanjun;2022/01/31;baidu usa ;None;None
HuaweiAlgolux;2022/02/01;None;None;None
isamu-takagi;2022/02/02;None;CPFL, tier4, autowarefoundation;tier4
mitsudome-r;2022/02/04;TIER IV;CPFL, tier4, autowarefoundation, ai-rush-2019, Autoware-AI, autoware-org, MitsudomeTestOrganization;udel
g-ise;2022/02/04;TIER IV;None;None
h-ohta;2022/02/07;@tier4 ;CPFL, tier4, autowarefoundation;tier4
Timple;2022/02/07;@nobleo ;tue-robotics, nobleo;None
badai-nguyen;2022/02/08;None;tier4, autowarefoundation;tier4
boyali;2022/02/10;None;None;None
wirin123;2022/02/16;None;None;None
BonoloAWF;2022/02/16;None;None;None
satoshi-ota;2022/03/01;@tier4;tier4, autowarefoundation;tier4
yukke42;2022/03/07;None;None;None
purewater0901;2022/03/07;University of California, Berkeley;autowarefoundation;None
08beeqtufail-sudo;2022/03/07;None;None;None
ambroise-arm;2022/03/07;None;autowarefoundation;arm
hueirutseng;2022/03/09;None;autowarefoundation;itri
filiperinaldi;2022/03/10;None;autowarefoundation;arm
yucedagonurcan;2022/03/11;ADASTEC Corp. @adastec ;None;None
Igata-ctrl;2022/03/15;TIER IV;tier4, autowarefoundation;tier4
mkuri;2022/03/15;TIER IV;tier4, autowarefoundation;tier4
kaspermeck-arm;2022/03/15;Arm;autowarefoundation;arm
LLplane;2022/03/17;None;None;None
armaganarsln;2022/03/22;Leo Drive Teknoloji A.Ş.;autowarefoundation;None
beyzanurkaya;2022/03/22;LeoDrive;autowarefoundation;leodrive
HaoruXue;2022/03/22;None;autowarefoundation, Triton-AI, LeCAR-Lab, DRIVE-LAB-CMU;None
meliketanrikulu;2022/03/23;Leo Drive;autowarefoundation;leodrive
TakumiKozaka-T4;2022/03/24;None;None;None
stale;2022/03/24;None;None;None
jason914;2022/03/25;None;autowarefoundation;itri
WJaworskiRobotec;2022/03/28;None;autowarefoundation;robotec
JeremyCKT;2022/03/28;None;None;None
kaancolak;2022/03/28;LeoDrive.ai;tier4, leo-drive, autowarefoundation;leodrive
kei-t4;2022/03/29;Tier IV;tier4, autowarefoundation;tier4
tkhmy;2022/03/30;@tier4 ;tier4, autowarefoundation;tier4
k-obitsu;2022/03/30;@tier4;tier4, autowarefoundation;tier4
chishengshih;2022/03/30;National Taiwan University;SystemProgrammingatNTU, tier4, autowarefoundation;None
goktugyildirim;2022/03/30;LEO Drive;autowarefoundation;None
esteve;2022/03/31;None;apache, fluidinfo, ros, robotics-in-concert, CPFL, ros2, ros2-java, autowarefoundation, ros2-dotnet;None
NaoyoriTanzawa;2022/03/31;TIER IV;tier4, autowarefoundation;tier4
JokerWhy233;2022/03/31;None;None;None
JohannesBetz;2022/03/31;Technical University of Munich;mlab-upenn, f1tenth, autowarefoundation;None
ShoukatM;2022/04/01;None;None;None
ralwing;2022/04/01;None;None;None
brkay54;2022/04/04;Planning & Control @ Leo Drive;leo-drive, autowarefoundation;leodrive
senagolcuk;2022/04/04;@leodrive.ai;autowarefoundation;leodrive
mehmetdogru;2022/04/05;None;tier4, autowarefoundation;leodrive
piotr-zyskowski-rai;2022/04/05;Robotec.ai;tier4, autowarefoundation;robotec
rej55;2022/04/07;TIER IV, Inc.;tier4, autowarefoundation;tier4
miursh;2022/04/11;None;tier4, autowarefoundation;tier4
shmpwk;2022/04/11;@tier4;tier4, autowarefoundation;tier4
YoshinoriTsutake;2022/04/11;None;tier4;tier4
PengfeiLin0609;2022/04/11;None;None;None
Sharrrrk;2022/04/12;@autocore-ai ;tier4, autowarefoundation;autocore
doganulus;2022/04/12;Boğaziçi University @bouncmpe ;autowarefoundation, bounverif, bouncmpe;bogazici
soblin;2022/04/13;@tier4;tier4, autowarefoundation;tier4
sevocrear;2022/04/14;None;None;None
emi0116;2022/04/14;None;None;None
JianKangEgon;2022/04/15;@autocore-ai;autowarefoundation;autocore
storrrrrrrrm;2022/04/15;@autocore-ai;autowarefoundation;autocore
beginningfan;2022/04/15;@autocore-ai;autowarefoundation;autocore
plane-li;2022/04/15;@autocore-ai;autowarefoundation;autocore
shulanbushangshu;2022/04/15;@autocore-ai;autowarefoundation;autocore
william-zhangshuai;2022/04/17;None;None;None
kminoda;2022/04/19;TIER IV;tier4, autowarefoundation;tier4
aohsato;2022/04/19;TIER IV;CPFL, tier4, autowarefoundation;tier4
scepter914;2022/04/19;TIER IV, Inc;tier4, autowarefoundation;tier4
YamatoAndo;2022/04/20;None;CPFL, tier4, autowarefoundation;tier4
yabuta;2022/04/20;None;CPFL, tier4, autowarefoundation;tier4
