date, autoware_contributors, code_contributors, community_contributors, tier4_autoware_contributors_per_day, tier4_code_contributors_per_day, tier4_community_contributors_per_day
2022/01/01,2,1,1,0,0,0
2022/01/05,4,3,2,2,2,1
2022/01/06,7,4,4,3,2,2
2022/01/07,8,6,5,4,4,3
2022/01/08,9,6,7,4,4,3
2022/01/11,13,8,9,6,5,4
2022/01/12,17,9,12,9,6,6
2022/01/13,20,11,14,10,8,6
2022/01/14,22,13,14,12,10,6
2022/01/17,23,14,14,13,11,6
2022/01/18,26,16,17,15,13,7
2022/01/19,27,17,18,16,14,8
2022/01/20,28,18,19,17,15,9
2022/01/21,30,20,19,19,17,9
2022/01/25,31,21,19,19,17,9
2022/01/27,33,23,20,19,18,9
2022/01/28,34,24,20,20,19,9
2022/01/31,38,27,21,21,20,9
2022/02/01,39,27,22,21,20,9
2022/02/02,41,28,23,22,20,10
2022/02/03,42,29,23,23,21,10
2022/02/04,44,29,25,24,21,11
2022/02/07,47,32,27,25,22,12
2022/02/08,47,33,28,25,23,13
2022/02/09,47,34,28,25,23,13
2022/02/10,48,34,29,25,23,13
2022/02/12,48,35,29,25,24,13
2022/02/16,50,36,31,25,25,13
2022/02/22,51,37,31,25,25,13
2022/03/01,52,38,32,25,25,14
2022/03/04,53,39,32,25,25,14
2022/03/07,56,40,36,25,25,14
2022/03/09,57,40,37,25,25,14
2022/03/10,58,40,38,25,25,14
2022/03/11,59,40,39,25,25,14
2022/03/13,59,41,39,25,25,14
2022/03/15,62,42,42,27,26,16
2022/03/16,63,43,42,27,26,16
2022/03/17,64,43,43,27,26,16
2022/03/18,65,44,43,28,27,16
2022/03/21,66,45,43,28,27,16
2022/03/22,71,48,46,28,27,16
2022/03/23,71,49,47,28,27,16
2022/03/24,73,50,49,29,28,16
2022/03/25,74,50,50,29,28,16
2022/03/28,76,50,53,29,28,16
2022/03/29,79,53,54,30,28,17
2022/03/30,82,53,58,31,28,19
2022/03/31,86,54,62,32,28,20
2022/04/01,88,54,64,32,28,20
2022/04/04,90,54,66,32,28,20
2022/04/05,92,54,68,32,28,20
2022/04/06,94,58,68,32,28,20
2022/04/07,95,59,69,33,29,21
2022/04/08,95,60,69,33,29,21
2022/04/11,98,60,73,35,29,24
2022/04/12,100,60,75,35,29,24
2022/04/13,102,61,76,37,30,25
2022/04/14,104,61,78,37,30,25
2022/04/15,110,62,83,38,31,25
2022/04/17,111,62,84,38,31,25
2022/04/19,113,62,87,40,31,28
2022/04/20,114,63,90,40,31,30
2022/04/21,114,64,90,40,32,30
2022/04/22,115,65,91,40,32,30
2022/04/25,118,67,93,40,32,30
2022/04/26,122,67,97,42,32,32
